Sounds Website URLs,Shelfmark,Title,IIIF
Skiffle,,,
https://sounds.bl.uk/sounds/sals-got-a-sugar-lipdriftwood-1001406563200x000006,1SE0039342,Lonnie Donegan and his Skiffle Group: Sal's Got A Sugar Lip/Driftwood,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100140656320.0x000002/manifest.json
https://sounds.bl.uk/sounds/grey-gooseleadbetter-1001406510460x000006,"1CS0042552,1CS0042295",Ken Colyer's Skiffle Group: The grey goose / I can't sleep,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100140651046.0x000002/manifest.json
https://sounds.bl.uk/sounds/they-cant-take-that-away-from-megershwin-1001406513750x000006,1CS0042419,Dickie Bishop and The Sidekicks: They can't take that away from me / Jumpin' Judy,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100140651375.0x000002/manifest.json
,,,
Wildlife,,,
https://sounds.bl.uk/sounds/brent-goose-england-1981-1001429387280x000008,WA 2022/001/002,Coast and sea,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100142938728.0x000001/manifest.json
https://sounds.bl.uk/sounds/british-chaffinch-england-1988-1001429413870x000006,WA 2022/001/005,"Home, garden and farm",https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100142941387.0x000001/manifest.json
https://sounds.bl.uk/sounds/common-chiffchaff-england-1990-1000828534710x000005,"W1CDR0000135,W2CDR0000135",Wildlife CD-R recordings,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100082853471.0x000002/manifest.json
https://sounds.bl.uk/sounds/common-raven-england-1971-1001429417600x000008,WA 2022/001/006,Moorland and mountain,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100142941760.0x000001/manifest.json
https://sounds.bl.uk/sounds/strong-breeze--around-force-6-wales-1989-1001429387280x00002c,WA 2022/001/002,Coast and sea,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100142938728.0x000001/manifest.json
,,,
Mechanical sounds,,,
https://sounds.bl.uk/sounds/synthesised-handbells-1000944111840x000006,ULMA019/54,Whitechapel Bell Foundry: Test run of the first tune programme,https://api-beta.bl.uk/metadata/iiif/ark:/81055/vdc_100094411184.0x000002/manifest.json
